Date,Ward 1 AQI,Ward 2 AQI,Ward 3 AQI,Ward 4 AQI,Ward 5 AQI,Ward 6 AQI,Ward 7 AQI,Ward 8 AQI
2023-04-12 20:00:00,57,,7,,60,,,45
2023-04-13 20:00:00,58,,23,,73,,,59
2023-04-14 20:00:00,47,,6,,39,,,11
2023-04-15 20:00:00,40,,12,,58,,,24
2023-04-16 20:00:00,63,,18,,37,,,18
2023-04-17 20:00:00,17,,5,,19,,,1
2023-04-18 20:00:00,19,,17,,42,,,13
2023-04-19 20:00:00,34,,15,,62,,,41
2023-04-20 20:00:00,56,,29,,81,,,65
2023-04-21 20:00:00,69,,52,,78,,,63
2023-04-22 20:00:00,33,,7,,33,,,8
2023-04-23 20:00:00,23,,17,,28,,,4
2023-04-24 20:00:00,27,,15,,40,,,14
2023-04-25 20:00:00,22,,21,,65,,,37
2023-04-26 20:00:00,31,,36,,71,,,50
2023-04-27 20:00:00,12,,14,,51,,,20
2023-04-28 20:00:00,6,,6,,22,,,6
2023-04-29 20:00:00,21,,20,,49,,,17
2023-04-30 20:00:00,10,,7,,16,,,1
2023-05-01 20:00:00,14,,1,,11,,,0
2023-05-02 20:00:00,7,,17,,6,,,0
2023-05-03 20:00:00,10,,1,,5,,,0
2023-05-04 20:00:00,20,,2,4,12,,,1
2023-05-05 20:00:00,16,,6,28,47,,,17
2023-05-06 20:00:00,25,,15,44,56,,,24
2023-05-07 20:00:00,57,,25,65,75,,,65
2023-05-08 20:00:00,25,,21,36,46,,,15
2023-05-09 20:00:00,21,,13,34,45,,,22
2023-05-10 20:00:00,31,,11,57,70,,,40
2023-05-11 20:00:00,53,,29,74,81,,,63
2023-05-12 20:00:00,62,,53,81,87,,,73
2023-05-13 20:00:00,56,,21,58,64,,,53
2023-05-14 20:00:00,28,,12,33,41,,,15
2023-05-15 20:00:00,48,,16,54,68,,,45
2023-05-16 20:00:00,47,,18,45,53,,,26
2023-05-17 20:00:00,16,,8,23,35,,,5
2023-05-18 20:00:00,17,,5,25,30,,,6
